,stat,precision,recall,f1-score,support,model_accuracy,model
0,0,0,0,0,7,0.96744186,sp_055_thresh_merge_50
1,1,0.96744186,1,0.983451537,208,0.96744186,sp_055_thresh_merge_50
2,accuracy,0.96744186,0.96744186,0.96744186,0.96744186,0.96744186,sp_055_thresh_merge_50
3,macro avg,0.48372093,0.5,0.491725768,215,0.96744186,sp_055_thresh_merge_50
4,weighted avg,0.935943753,0.96744186,0.951432184,215,0.96744186,sp_055_thresh_merge_50
0,0,1,0.142857143,0.25,7,0.972093023,sp_055_thresh_merge_55
1,1,0.971962617,1,0.985781991,208,0.972093023,sp_055_thresh_merge_55
2,accuracy,0.972093023,0.972093023,0.972093023,0.972093023,0.972093023,sp_055_thresh_merge_55
3,macro avg,0.985981308,0.571428571,0.617890995,215,0.972093023,sp_055_thresh_merge_55
4,weighted avg,0.972875462,0.972093023,0.961826298,215,0.972093023,sp_055_thresh_merge_55
0,0,0.333333333,0.142857143,0.2,7,0.962790698,sp_055_thresh_merge_60
1,1,0.971698113,0.990384615,0.980952381,208,0.962790698,sp_055_thresh_merge_60
2,accuracy,0.962790698,0.962790698,0.962790698,0.962790698,0.962790698,sp_055_thresh_merge_60
3,macro avg,0.652515723,0.566620879,0.59047619,215,0.962790698,sp_055_thresh_merge_60
4,weighted avg,0.950914144,0.962790698,0.955526024,215,0.962790698,sp_055_thresh_merge_60
0,0,0.333333333,0.285714286,0.307692308,7,0.958139535,sp_055_thresh_merge_65
1,1,0.976076555,0.980769231,0.978417266,208,0.958139535,sp_055_thresh_merge_65
2,accuracy,0.958139535,0.958139535,0.958139535,0.958139535,0.958139535,sp_055_thresh_merge_65
3,macro avg,0.654704944,0.633241758,0.643054787,215,0.958139535,sp_055_thresh_merge_65
4,weighted avg,0.955150032,0.958139535,0.956579709,215,0.958139535,sp_055_thresh_merge_65
0,0,0.285714286,0.285714286,0.285714286,7,0.953488372,sp_055_thresh_merge_70
1,1,0.975961538,0.975961538,0.975961538,208,0.953488372,sp_055_thresh_merge_70
2,accuracy,0.953488372,0.953488372,0.953488372,0.953488372,0.953488372,sp_055_thresh_merge_70
3,macro avg,0.630837912,0.630837912,0.630837912,215,0.953488372,sp_055_thresh_merge_70
4,weighted avg,0.953488372,0.953488372,0.953488372,215,0.953488372,sp_055_thresh_merge_70
0,0,0.142857143,0.285714286,0.19047619,7,0.920930233,sp_055_thresh_merge_75
1,1,0.975124378,0.942307692,0.958435208,208,0.920930233,sp_055_thresh_merge_75
2,accuracy,0.920930233,0.920930233,0.920930233,0.920930233,0.920930233,sp_055_thresh_merge_75
3,macro avg,0.55899076,0.614010989,0.574455699,215,0.920930233,sp_055_thresh_merge_75
4,weighted avg,0.948027305,0.920930233,0.933431891,215,0.920930233,sp_055_thresh_merge_75
0,0,0.107142857,0.428571429,0.171428571,7,0.865116279,sp_055_thresh_merge_80
1,1,0.978609626,0.879807692,0.926582278,208,0.865116279,sp_055_thresh_merge_80
2,accuracy,0.865116279,0.865116279,0.865116279,0.865116279,0.865116279,sp_055_thresh_merge_80
3,macro avg,0.542876241,0.65418956,0.549005425,215,0.865116279,sp_055_thresh_merge_80
4,weighted avg,0.950236289,0.865116279,0.901995879,215,0.865116279,sp_055_thresh_merge_80
0,0,0.108695652,0.714285714,0.188679245,7,0.8,sp_055_thresh_merge_85
1,1,0.98816568,0.802884615,0.885941645,208,0.8,sp_055_thresh_merge_85
2,accuracy,0.8,0.8,0.8,0.8,0.8,sp_055_thresh_merge_85
3,macro avg,0.548430666,0.758585165,0.537310445,215,0.8,sp_055_thresh_merge_85
4,weighted avg,0.959531773,0.8,0.863240078,215,0.8,sp_055_thresh_merge_85
0,0,0.074074074,0.857142857,0.136363636,7,0.646511628,sp_055_thresh_merge_90
1,1,0.992537313,0.639423077,0.777777778,208,0.646511628,sp_055_thresh_merge_90
2,accuracy,0.646511628,0.646511628,0.646511628,0.646511628,0.646511628,sp_055_thresh_merge_90
3,macro avg,0.533305694,0.748282967,0.457070707,215,0.646511628,sp_055_thresh_merge_90
4,weighted avg,0.962633859,0.646511628,0.756894527,215,0.646511628,sp_055_thresh_merge_90
0,0,0.044117647,0.857142857,0.083916084,7,0.390697674,sp_055_thresh_merge_95
1,1,0.987341772,0.375,0.543554007,208,0.390697674,sp_055_thresh_merge_95
2,accuracy,0.390697674,0.390697674,0.390697674,0.390697674,0.390697674,sp_055_thresh_merge_95
3,macro avg,0.51572971,0.616071429,0.313735045,215,0.390697674,sp_055_thresh_merge_95
4,weighted avg,0.956632149,0.390697674,0.528589051,215,0.390697674,sp_055_thresh_merge_95
0,0,0.1,0.142857143,0.117647059,7,0.930232558,sp_05_thresh_merge_50
1,1,0.970731707,0.956730769,0.963680387,208,0.930232558,sp_05_thresh_merge_50
2,accuracy,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,sp_05_thresh_merge_50
3,macro avg,0.535365854,0.549793956,0.540663723,215,0.930232558,sp_05_thresh_merge_50
4,weighted avg,0.942382303,0.930232558,0.936135116,215,0.930232558,sp_05_thresh_merge_50
0,0,0.136363636,0.428571429,0.206896552,7,0.893023256,sp_05_thresh_merge_55
1,1,0.979274611,0.908653846,0.942643392,208,0.893023256,sp_05_thresh_merge_55
2,accuracy,0.893023256,0.893023256,0.893023256,0.893023256,0.893023256,sp_05_thresh_merge_55
3,macro avg,0.557819124,0.668612637,0.574769972,215,0.893023256,sp_05_thresh_merge_55
4,weighted avg,0.951830998,0.893023256,0.918688843,215,0.893023256,sp_05_thresh_merge_55
0,0,0.096774194,0.428571429,0.157894737,7,0.851162791,sp_05_thresh_merge_60
1,1,0.97826087,0.865384615,0.918367347,208,0.851162791,sp_05_thresh_merge_60
2,accuracy,0.851162791,0.851162791,0.851162791,0.851162791,0.851162791,sp_05_thresh_merge_60
3,macro avg,0.537517532,0.646978022,0.538131042,215,0.851162791,sp_05_thresh_merge_60
4,weighted avg,0.949561303,0.851162791,0.893607774,215,0.851162791,sp_05_thresh_merge_60
0,0,0.069767442,0.428571429,0.12,7,0.795348837,sp_05_thresh_merge_65
1,1,0.976744186,0.807692308,0.884210526,208,0.795348837,sp_05_thresh_merge_65
2,accuracy,0.795348837,0.795348837,0.795348837,0.795348837,0.795348837,sp_05_thresh_merge_65
3,macro avg,0.523255814,0.618131868,0.502105263,215,0.795348837,sp_05_thresh_merge_65
4,weighted avg,0.947214711,0.795348837,0.859329253,215,0.795348837,sp_05_thresh_merge_65
0,0,0.068965517,0.571428571,0.123076923,7,0.734883721,sp_05_thresh_merge_70
1,1,0.98089172,0.740384615,0.843835616,208,0.734883721,sp_05_thresh_merge_70
2,accuracy,0.734883721,0.734883721,0.734883721,0.734883721,0.734883721,sp_05_thresh_merge_70
3,macro avg,0.524928618,0.655906593,0.48345627,215,0.734883721,sp_05_thresh_merge_70
4,weighted avg,0.951201099,0.734883721,0.820369054,215,0.734883721,sp_05_thresh_merge_70
0,0,0.068181818,0.857142857,0.126315789,7,0.613953488,sp_05_thresh_merge_75
1,1,0.992125984,0.605769231,0.752238806,208,0.613953488,sp_05_thresh_merge_75
2,accuracy,0.613953488,0.613953488,0.613953488,0.613953488,0.613953488,sp_05_thresh_merge_75
3,macro avg,0.530153901,0.731456044,0.439277298,215,0.613953488,sp_05_thresh_merge_75
4,weighted avg,0.962044081,0.613953488,0.731859917,215,0.613953488,sp_05_thresh_merge_75
0,0,0.0625,1,0.117647059,7,0.511627907,sp_05_thresh_merge_80
1,1,1,0.495192308,0.662379421,208,0.511627907,sp_05_thresh_merge_80
2,accuracy,0.511627907,0.511627907,0.511627907,0.511627907,0.511627907,sp_05_thresh_merge_80
3,macro avg,0.53125,0.747596154,0.39001324,215,0.511627907,sp_05_thresh_merge_80
4,weighted avg,0.969476744,0.511627907,0.644643949,215,0.511627907,sp_05_thresh_merge_80
0,0,0.049295775,1,0.093959732,7,0.372093023,sp_05_thresh_merge_85
1,1,1,0.350961538,0.519572954,208,0.372093023,sp_05_thresh_merge_85
2,accuracy,0.372093023,0.372093023,0.372093023,0.372093023,0.372093023,sp_05_thresh_merge_85
3,macro avg,0.524647887,0.675480769,0.306766343,215,0.372093023,sp_05_thresh_merge_85
4,weighted avg,0.969046839,0.372093023,0.505715779,215,0.372093023,sp_05_thresh_merge_85
0,0,0.038251366,1,0.073684211,7,0.181395349,sp_05_thresh_merge_90
1,1,1,0.153846154,0.266666667,208,0.181395349,sp_05_thresh_merge_90
2,accuracy,0.181395349,0.181395349,0.181395349,0.181395349,0.181395349,sp_05_thresh_merge_90
3,macro avg,0.519125683,0.576923077,0.170175439,215,0.181395349,sp_05_thresh_merge_90
4,weighted avg,0.968687254,0.181395349,0.260383517,215,0.181395349,sp_05_thresh_merge_90
0,0,0.034313725,1,0.066350711,7,0.08372093,sp_05_thresh_merge_95
1,1,1,0.052884615,0.100456621,208,0.08372093,sp_05_thresh_merge_95
2,accuracy,0.08372093,0.08372093,0.08372093,0.08372093,0.08372093,sp_05_thresh_merge_95
3,macro avg,0.517156863,0.526442308,0.083403666,215,0.08372093,sp_05_thresh_merge_95
4,weighted avg,0.968559052,0.08372093,0.099346196,215,0.08372093,sp_05_thresh_merge_95
0,0,0,0,0,7,0.96744186,sp_06_thresh_merge_50
1,1,0.96744186,1,0.983451537,208,0.96744186,sp_06_thresh_merge_50
2,accuracy,0.96744186,0.96744186,0.96744186,0.96744186,0.96744186,sp_06_thresh_merge_50
3,macro avg,0.48372093,0.5,0.491725768,215,0.96744186,sp_06_thresh_merge_50
4,weighted avg,0.935943753,0.96744186,0.951432184,215,0.96744186,sp_06_thresh_merge_50
0,0,1,0.142857143,0.25,7,0.972093023,sp_06_thresh_merge_55
1,1,0.971962617,1,0.985781991,208,0.972093023,sp_06_thresh_merge_55
2,accuracy,0.972093023,0.972093023,0.972093023,0.972093023,0.972093023,sp_06_thresh_merge_55
3,macro avg,0.985981308,0.571428571,0.617890995,215,0.972093023,sp_06_thresh_merge_55
4,weighted avg,0.972875462,0.972093023,0.961826298,215,0.972093023,sp_06_thresh_merge_55
0,0,0.2,0.142857143,0.166666667,7,0.953488372,sp_06_thresh_merge_60
1,1,0.971428571,0.980769231,0.976076555,208,0.953488372,sp_06_thresh_merge_60
2,accuracy,0.953488372,0.953488372,0.953488372,0.953488372,0.953488372,sp_06_thresh_merge_60
3,macro avg,0.585714286,0.561813187,0.571371611,215,0.953488372,sp_06_thresh_merge_60
4,weighted avg,0.946312292,0.953488372,0.949723675,215,0.953488372,sp_06_thresh_merge_60
0,0,0.2,0.285714286,0.235294118,7,0.939534884,sp_06_thresh_merge_65
1,1,0.975609756,0.961538462,0.968523002,208,0.939534884,sp_06_thresh_merge_65
2,accuracy,0.939534884,0.939534884,0.939534884,0.939534884,0.939534884,sp_06_thresh_merge_65
3,macro avg,0.587804878,0.623626374,0.60190856,215,0.939534884,sp_06_thresh_merge_65
4,weighted avg,0.950357345,0.939534884,0.944650434,215,0.939534884,sp_06_thresh_merge_65
0,0,0.214285714,0.428571429,0.285714286,7,0.930232558,sp_06_thresh_merge_70
1,1,0.980099502,0.947115385,0.963325183,208,0.930232558,sp_06_thresh_merge_70
2,accuracy,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,sp_06_thresh_merge_70
3,macro avg,0.597192608,0.687843407,0.624519735,215,0.930232558,sp_06_thresh_merge_70
4,weighted avg,0.95516603,0.930232558,0.941263433,215,0.930232558,sp_06_thresh_merge_70
0,0,0.130434783,0.428571429,0.2,7,0.888372093,sp_06_thresh_merge_75
1,1,0.979166667,0.903846154,0.94,208,0.888372093,sp_06_thresh_merge_75
2,accuracy,0.888372093,0.888372093,0.888372093,0.888372093,0.888372093,sp_06_thresh_merge_75
3,macro avg,0.554800725,0.666208791,0.57,215,0.888372093,sp_06_thresh_merge_75
4,weighted avg,0.951533536,0.888372093,0.915906977,215,0.888372093,sp_06_thresh_merge_75
0,0,0.083333333,0.428571429,0.139534884,7,0.827906977,sp_06_thresh_merge_80
1,1,0.977653631,0.841346154,0.904392765,208,0.827906977,sp_06_thresh_merge_80
2,accuracy,0.827906977,0.827906977,0.827906977,0.827906977,0.827906977,sp_06_thresh_merge_80
3,macro avg,0.530493482,0.634958791,0.521963824,215,0.827906977,sp_06_thresh_merge_80
4,weighted avg,0.948536226,0.827906977,0.879490415,215,0.827906977,sp_06_thresh_merge_80
0,0,0.090909091,0.714285714,0.161290323,7,0.758139535,sp_06_thresh_merge_85
1,1,0.9875,0.759615385,0.858695652,208,0.758139535,sp_06_thresh_merge_85
2,accuracy,0.758139535,0.758139535,0.758139535,0.758139535,0.758139535,sp_06_thresh_merge_85
3,macro avg,0.539204545,0.736950549,0.509992987,215,0.758139535,sp_06_thresh_merge_85
4,weighted avg,0.958308668,0.758139535,0.835989432,215,0.758139535,sp_06_thresh_merge_85
0,0,0.057142857,0.857142857,0.107142857,7,0.534883721,sp_06_thresh_merge_90
1,1,0.990909091,0.524038462,0.685534591,208,0.534883721,sp_06_thresh_merge_90
2,accuracy,0.534883721,0.534883721,0.534883721,0.534883721,0.534883721,sp_06_thresh_merge_90
3,macro avg,0.524025974,0.690590659,0.396338724,215,0.534883721,sp_06_thresh_merge_90
4,weighted avg,0.9605074,0.534883721,0.666703232,215,0.534883721,sp_06_thresh_merge_90
0,0,0.046666667,1,0.089171975,7,0.334883721,sp_06_thresh_merge_95
1,1,1,0.3125,0.476190476,208,0.334883721,sp_06_thresh_merge_95
2,accuracy,0.334883721,0.334883721,0.334883721,0.334883721,0.334883721,sp_06_thresh_merge_95
3,macro avg,0.523333333,0.65625,0.282681225,215,0.334883721,sp_06_thresh_merge_95
4,weighted avg,0.96896124,0.334883721,0.463589874,215,0.334883721,sp_06_thresh_merge_95
0,0,0.1,0.142857143,0.117647059,7,0.930232558,sp_075_thresh_merge_50
1,1,0.970731707,0.956730769,0.963680387,208,0.930232558,sp_075_thresh_merge_50
2,accuracy,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,sp_075_thresh_merge_50
3,macro avg,0.535365854,0.549793956,0.540663723,215,0.930232558,sp_075_thresh_merge_50
4,weighted avg,0.942382303,0.930232558,0.936135116,215,0.930232558,sp_075_thresh_merge_50
0,0,0.136363636,0.428571429,0.206896552,7,0.893023256,sp_075_thresh_merge_55
1,1,0.979274611,0.908653846,0.942643392,208,0.893023256,sp_075_thresh_merge_55
2,accuracy,0.893023256,0.893023256,0.893023256,0.893023256,0.893023256,sp_075_thresh_merge_55
3,macro avg,0.557819124,0.668612637,0.574769972,215,0.893023256,sp_075_thresh_merge_55
4,weighted avg,0.951830998,0.893023256,0.918688843,215,0.893023256,sp_075_thresh_merge_55
0,0,0.096774194,0.428571429,0.157894737,7,0.851162791,sp_075_thresh_merge_60
1,1,0.97826087,0.865384615,0.918367347,208,0.851162791,sp_075_thresh_merge_60
2,accuracy,0.851162791,0.851162791,0.851162791,0.851162791,0.851162791,sp_075_thresh_merge_60
3,macro avg,0.537517532,0.646978022,0.538131042,215,0.851162791,sp_075_thresh_merge_60
4,weighted avg,0.949561303,0.851162791,0.893607774,215,0.851162791,sp_075_thresh_merge_60
0,0,0.069767442,0.428571429,0.12,7,0.795348837,sp_075_thresh_merge_65
1,1,0.976744186,0.807692308,0.884210526,208,0.795348837,sp_075_thresh_merge_65
2,accuracy,0.795348837,0.795348837,0.795348837,0.795348837,0.795348837,sp_075_thresh_merge_65
3,macro avg,0.523255814,0.618131868,0.502105263,215,0.795348837,sp_075_thresh_merge_65
4,weighted avg,0.947214711,0.795348837,0.859329253,215,0.795348837,sp_075_thresh_merge_65
0,0,0.068965517,0.571428571,0.123076923,7,0.734883721,sp_075_thresh_merge_70
1,1,0.98089172,0.740384615,0.843835616,208,0.734883721,sp_075_thresh_merge_70
2,accuracy,0.734883721,0.734883721,0.734883721,0.734883721,0.734883721,sp_075_thresh_merge_70
3,macro avg,0.524928618,0.655906593,0.48345627,215,0.734883721,sp_075_thresh_merge_70
4,weighted avg,0.951201099,0.734883721,0.820369054,215,0.734883721,sp_075_thresh_merge_70
0,0,0.068181818,0.857142857,0.126315789,7,0.613953488,sp_075_thresh_merge_75
1,1,0.992125984,0.605769231,0.752238806,208,0.613953488,sp_075_thresh_merge_75
2,accuracy,0.613953488,0.613953488,0.613953488,0.613953488,0.613953488,sp_075_thresh_merge_75
3,macro avg,0.530153901,0.731456044,0.439277298,215,0.613953488,sp_075_thresh_merge_75
4,weighted avg,0.962044081,0.613953488,0.731859917,215,0.613953488,sp_075_thresh_merge_75
0,0,0.0625,1,0.117647059,7,0.511627907,sp_075_thresh_merge_80
1,1,1,0.495192308,0.662379421,208,0.511627907,sp_075_thresh_merge_80
2,accuracy,0.511627907,0.511627907,0.511627907,0.511627907,0.511627907,sp_075_thresh_merge_80
3,macro avg,0.53125,0.747596154,0.39001324,215,0.511627907,sp_075_thresh_merge_80
4,weighted avg,0.969476744,0.511627907,0.644643949,215,0.511627907,sp_075_thresh_merge_80
0,0,0.049295775,1,0.093959732,7,0.372093023,sp_075_thresh_merge_85
1,1,1,0.350961538,0.519572954,208,0.372093023,sp_075_thresh_merge_85
2,accuracy,0.372093023,0.372093023,0.372093023,0.372093023,0.372093023,sp_075_thresh_merge_85
3,macro avg,0.524647887,0.675480769,0.306766343,215,0.372093023,sp_075_thresh_merge_85
4,weighted avg,0.969046839,0.372093023,0.505715779,215,0.372093023,sp_075_thresh_merge_85
0,0,0.038251366,1,0.073684211,7,0.181395349,sp_075_thresh_merge_90
1,1,1,0.153846154,0.266666667,208,0.181395349,sp_075_thresh_merge_90
2,accuracy,0.181395349,0.181395349,0.181395349,0.181395349,0.181395349,sp_075_thresh_merge_90
3,macro avg,0.519125683,0.576923077,0.170175439,215,0.181395349,sp_075_thresh_merge_90
4,weighted avg,0.968687254,0.181395349,0.260383517,215,0.181395349,sp_075_thresh_merge_90
0,0,0.034313725,1,0.066350711,7,0.08372093,sp_075_thresh_merge_95
1,1,1,0.052884615,0.100456621,208,0.08372093,sp_075_thresh_merge_95
2,accuracy,0.08372093,0.08372093,0.08372093,0.08372093,0.08372093,sp_075_thresh_merge_95
3,macro avg,0.517156863,0.526442308,0.083403666,215,0.08372093,sp_075_thresh_merge_95
4,weighted avg,0.968559052,0.08372093,0.099346196,215,0.08372093,sp_075_thresh_merge_95
0,0,0,0,0,7,0.944186047,sp_07_thresh_merge_50
1,1,0.966666667,0.975961538,0.971291866,208,0.944186047,sp_07_thresh_merge_50
2,accuracy,0.944186047,0.944186047,0.944186047,0.944186047,0.944186047,sp_07_thresh_merge_50
3,macro avg,0.483333333,0.487980769,0.485645933,215,0.944186047,sp_07_thresh_merge_50
4,weighted avg,0.935193798,0.944186047,0.93966841,215,0.944186047,sp_07_thresh_merge_50
0,0,0.090909091,0.142857143,0.111111111,7,0.925581395,sp_07_thresh_merge_55
1,1,0.970588235,0.951923077,0.961165049,208,0.925581395,sp_07_thresh_merge_55
2,accuracy,0.925581395,0.925581395,0.925581395,0.925581395,0.925581395,sp_07_thresh_merge_55
3,macro avg,0.530748663,0.54739011,0.53613808,215,0.925581395,sp_07_thresh_merge_55
4,weighted avg,0.941947519,0.925581395,0.933488874,215,0.925581395,sp_07_thresh_merge_55
0,0,0.157894737,0.428571429,0.230769231,7,0.906976744,sp_07_thresh_merge_60
1,1,0.979591837,0.923076923,0.95049505,208,0.906976744,sp_07_thresh_merge_60
2,accuracy,0.906976744,0.906976744,0.906976744,0.906976744,0.906976744,sp_07_thresh_merge_60
3,macro avg,0.568743287,0.675824176,0.59063214,215,0.906976744,sp_07_thresh_merge_60
4,weighted avg,0.952838908,0.906976744,0.927062116,215,0.906976744,sp_07_thresh_merge_60
0,0,0.12,0.428571429,0.1875,7,0.879069767,sp_07_thresh_merge_65
1,1,0.978947368,0.894230769,0.934673367,208,0.879069767,sp_07_thresh_merge_65
2,accuracy,0.879069767,0.879069767,0.879069767,0.879069767,0.879069767,sp_07_thresh_merge_65
3,macro avg,0.549473684,0.661401099,0.561086683,215,0.879069767,sp_07_thresh_merge_65
4,weighted avg,0.95098164,0.879069767,0.910346792,215,0.879069767,sp_07_thresh_merge_65
0,0,0.083333333,0.428571429,0.139534884,7,0.827906977,sp_07_thresh_merge_70
1,1,0.977653631,0.841346154,0.904392765,208,0.827906977,sp_07_thresh_merge_70
2,accuracy,0.827906977,0.827906977,0.827906977,0.827906977,0.827906977,sp_07_thresh_merge_70
